endpoint,comparison,delta_mean,ci_lo,ci_hi,pct_positive,deLong_p,deLong_p_report
E1 pan-dependency,Random forest - STRING centrality,0.055258,0.048933,0.061505,100.0,1.2265257197678607e-66,1.23e-66
E1 pan-dependency,Harmonic mean - STRING centrality,-0.119826,-0.129317,-0.110194,0.0,1.8147094906266976e-141,1.81e-141
E1 pan-dependency,ECS (multiplicative) - STRING centrality,-0.279807,-0.293666,-0.265388,0.0,0.0,< 1e-300
E2 PDAC-enriched dependency,Random forest - STRING centrality,0.029529,0.012813,0.046085,99.95,0.0003300382654234975,0.00033
E2 PDAC-enriched dependency,Harmonic mean - STRING centrality,-0.034918,-0.052309,-0.0178,0.0,5.384607870546861e-05,5.38e-05
E2 PDAC-enriched dependency,ECS (multiplicative) - STRING centrality,-0.132697,-0.158869,-0.10577,0.0,4.398121326834841e-23,4.4e-23
E3 conjunctive actionability,Random forest - STRING centrality,0.203887,0.190071,0.217949,100.0,1.0805219953269377e-183,1.08e-183
E3 conjunctive actionability,Harmonic mean - STRING centrality,0.154048,0.140902,0.16758,100.0,1.682121525611618e-115,1.68e-115
E3 conjunctive actionability,ECS (multiplicative) - STRING centrality,-0.045565,-0.062031,-0.028735,0.0,5.450227780172783e-08,5.45e-08
E3-A leakage-controlled essentiality,Random forest - STRING centrality,0.055258,0.048933,0.061505,100.0,1.2265257197678607e-66,1.23e-66
E3-A leakage-controlled essentiality,Harmonic mean - STRING centrality,-0.119826,-0.129317,-0.110194,0.0,1.8147094906266976e-141,1.81e-141
E3-A leakage-controlled essentiality,ECS (multiplicative) - STRING centrality,-0.279807,-0.293666,-0.265388,0.0,0.0,< 1e-300
E3-C out-of-evidence druggability,Random forest - STRING centrality,0.379754,0.370763,0.389168,100.0,0.0,< 1e-300
E3-C out-of-evidence druggability,Harmonic mean - STRING centrality,0.315526,0.307606,0.323748,100.0,0.0,< 1e-300
E3-C out-of-evidence druggability,ECS (multiplicative) - STRING centrality,0.096934,0.084764,0.108504,100.0,2.8814200561604983e-59,2.88e-59
E4 CRC zero-shot transfer,Random forest - STRING centrality,0.054469,0.047922,0.060977,100.0,2.3537891227307684e-65,2.35e-65
E4 CRC zero-shot transfer,Harmonic mean - STRING centrality,-0.125672,-0.134888,-0.116197,0.0,8.0413248377217e-157,8.04e-157
E4 CRC zero-shot transfer,ECS (multiplicative) - STRING centrality,-0.286547,-0.299676,-0.272642,0.0,0.0,< 1e-300
E5 historical clinical-target concordance,Random forest - STRING centrality,-0.044348,-0.097564,0.000623,2.85,0.08128231010334899,0.0813
E5 historical clinical-target concordance,Harmonic mean - STRING centrality,-0.045325,-0.085401,-0.013213,0.2,0.01670357344653437,0.0167
E5 historical clinical-target concordance,ECS (multiplicative) - STRING centrality,-0.162556,-0.244639,-0.092676,0.0,3.7070025397966115e-05,3.71e-05
E6 PDAC drug-response actionability,Random forest - STRING centrality,0.002545,-0.031756,0.040123,55.35,0.8643108168967645,0.864
E6 PDAC drug-response actionability,Harmonic mean - STRING centrality,-0.065847,-0.134346,-0.003508,1.8499999999999999,0.05327861632424196,0.0533
E6 PDAC drug-response actionability,ECS (multiplicative) - STRING centrality,-0.207925,-0.330104,-0.087246,0.15,0.000882770392353495,0.000883
