endpoint,endpoint_id,scorer,auroc,auprc,auroc_ci_lo,auroc_ci_hi,n_pos,n_eval
E1 pan-dependency,E1,Mutation frequency,0.49908,0.217492,0.490484,0.50753,4584,20751
E1 pan-dependency,E1,Genetic constraint,0.524014,0.218283,0.515512,0.532816,4584,20751
E1 pan-dependency,E1,Cancer-driver annotation,0.506703,0.225253,0.504377,0.508904,4584,20751
E1 pan-dependency,E1,Druggability,0.507168,0.230856,0.500161,0.514309,4584,20751
E1 pan-dependency,E1,STRING centrality,0.695106,0.399455,0.686427,0.703703,4584,20751
E1 pan-dependency,E1,Arithmetic mean,0.579577,0.253348,0.570983,0.588324,4584,20751
E1 pan-dependency,E1,Rank aggregation,0.532681,0.240849,0.523267,0.541517,4584,20751
E1 pan-dependency,E1,Weighted rank aggregation,0.634129,0.310831,0.625063,0.642374,4584,20751
E1 pan-dependency,E1,ECS (multiplicative),0.415223,0.179454,0.405969,0.424871,4584,20751
E1 pan-dependency,E1,Harmonic mean,0.575195,0.253865,0.566803,0.583544,4584,20751
E1 pan-dependency,E1,Logistic regression,0.678567,0.337881,0.670417,0.686543,4584,20751
E1 pan-dependency,E1,Elastic net,0.67146,0.327326,0.66324,0.679449,4584,20751
E1 pan-dependency,E1,Random forest,0.75043,0.48992,0.742605,0.75802,4584,20751
E2 PDAC-enriched dependency,E2,Mutation frequency,0.491325,0.054513,0.476265,0.506953,1147,20751
E2 PDAC-enriched dependency,E2,Genetic constraint,0.496282,0.05148,0.48046,0.511801,1147,20751
E2 PDAC-enriched dependency,E2,Cancer-driver annotation,0.50621,0.056567,0.501996,0.510784,1147,20751
E2 PDAC-enriched dependency,E2,Druggability,0.526235,0.059973,0.511969,0.539434,1147,20751
E2 PDAC-enriched dependency,E2,STRING centrality,0.601394,0.080671,0.584246,0.61837,1147,20751
E2 PDAC-enriched dependency,E2,Arithmetic mean,0.561247,0.066152,0.545344,0.577061,1147,20751
E2 PDAC-enriched dependency,E2,Rank aggregation,0.517678,0.060731,0.500501,0.535247,1147,20751
E2 PDAC-enriched dependency,E2,Weighted rank aggregation,0.574947,0.073172,0.557977,0.59136,1147,20751
E2 PDAC-enriched dependency,E2,ECS (multiplicative),0.468786,0.049299,0.452064,0.485265,1147,20751
E2 PDAC-enriched dependency,E2,Harmonic mean,0.566639,0.06832,0.550697,0.581857,1147,20751
E2 PDAC-enriched dependency,E2,Logistic regression,0.603186,0.077493,0.587262,0.619118,1147,20751
E2 PDAC-enriched dependency,E2,Elastic net,0.594169,0.074201,0.578561,0.610589,1147,20751
E2 PDAC-enriched dependency,E2,Random forest,0.631043,0.088668,0.613612,0.648057,1147,20751
E3 conjunctive actionability,E3,Mutation frequency,0.51978,0.05809,0.505129,0.536207,1159,20751
E3 conjunctive actionability,E3,Genetic constraint,0.559221,0.058141,0.546553,0.571626,1159,20751
E3 conjunctive actionability,E3,Cancer-driver annotation,0.521163,0.065639,0.515001,0.527704,1159,20751
E3 conjunctive actionability,E3,Druggability,0.914658,0.260261,0.910628,0.918758,1159,20751
E3 conjunctive actionability,E3,STRING centrality,0.738482,0.175225,0.723356,0.753968,1159,20751
E3 conjunctive actionability,E3,Arithmetic mean,0.832085,0.196594,0.821948,0.842013,1159,20751
E3 conjunctive actionability,E3,Rank aggregation,0.636347,0.093688,0.620539,0.652061,1159,20751
E3 conjunctive actionability,E3,Weighted rank aggregation,0.834507,0.259831,0.822726,0.846321,1159,20751
E3 conjunctive actionability,E3,ECS (multiplicative),0.693081,0.080425,0.683776,0.702398,1159,20751
E3 conjunctive actionability,E3,Harmonic mean,0.892576,0.245061,0.886519,0.898736,1159,20751
E3 conjunctive actionability,E3,Logistic regression,0.931284,0.371356,0.927299,0.935223,1159,20751
E3 conjunctive actionability,E3,Elastic net,0.927481,0.333217,0.923127,0.931536,1159,20751
E3 conjunctive actionability,E3,Random forest,0.942464,0.486226,0.938725,0.946263,1159,20751
E3-A leakage-controlled essentiality,E3-A,Mutation frequency,0.49908,0.217492,0.490484,0.50753,4584,20751
E3-A leakage-controlled essentiality,E3-A,Genetic constraint,0.524014,0.218283,0.515512,0.532816,4584,20751
E3-A leakage-controlled essentiality,E3-A,Cancer-driver annotation,0.506703,0.225253,0.504377,0.508904,4584,20751
E3-A leakage-controlled essentiality,E3-A,Druggability,0.507168,0.230856,0.500161,0.514309,4584,20751
E3-A leakage-controlled essentiality,E3-A,STRING centrality,0.695106,0.399455,0.686427,0.703703,4584,20751
E3-A leakage-controlled essentiality,E3-A,Arithmetic mean,0.579577,0.253348,0.570983,0.588324,4584,20751
E3-A leakage-controlled essentiality,E3-A,Rank aggregation,0.532681,0.240849,0.523267,0.541517,4584,20751
E3-A leakage-controlled essentiality,E3-A,Weighted rank aggregation,0.634129,0.310831,0.625063,0.642374,4584,20751
