endpoint,method,auroc,ci_lo,ci_hi,auprc,n_positives,mwu_p_vs_chance
E1 pan-dependency,Mutation frequency,0.4991,0.4905,0.5075,0.2175,4584,0.836
E1 pan-dependency,Genetic constraint,0.5240,0.5155,0.5328,0.2183,4584,4.29e-07
E1 pan-dependency,Cancer-driver annotation,0.5067,0.5044,0.5089,0.2253,4584,1.2e-13
E1 pan-dependency,Druggability,0.5072,0.5002,0.5143,0.2309,4584,0.0503
E1 pan-dependency,STRING centrality,0.6951,0.6864,0.7037,0.3995,4584,< 1e-300
E1 pan-dependency,Arithmetic mean,0.5796,0.5710,0.5883,0.2533,4584,5.68e-61
E1 pan-dependency,Rank aggregation,0.5327,0.5233,0.5415,0.2408,4584,1.33e-11
E1 pan-dependency,Weighted rank aggregation,0.6341,0.6251,0.6424,0.3108,4584,1.1e-169
E1 pan-dependency,ECS (multiplicative),0.4152,0.4060,0.4249,0.1795,4584,5.96e-69
E1 pan-dependency,Harmonic mean,0.5752,0.5668,0.5835,0.2539,4584,1.23e-54
E1 pan-dependency,Logistic regression,0.6786,0.6704,0.6865,0.3379,4584,4.09e-299
E1 pan-dependency,Elastic net,0.6715,0.6632,0.6794,0.3273,4584,5.97e-276
E1 pan-dependency,Random forest,0.7504,0.7426,0.7580,0.4899,4584,< 1e-300
E2 PDAC-enriched dependency,Mutation frequency,0.4913,0.4763,0.5070,0.0545,1147,0.283
E2 PDAC-enriched dependency,Genetic constraint,0.4963,0.4805,0.5118,0.0515,1147,0.666
E2 PDAC-enriched dependency,Cancer-driver annotation,0.5062,0.5020,0.5108,0.0566,1147,0.000154
E2 PDAC-enriched dependency,Druggability,0.5262,0.5120,0.5394,0.0600,1147,7.97e-05
E2 PDAC-enriched dependency,STRING centrality,0.6014,0.5842,0.6184,0.0807,1147,6.36e-31
E2 PDAC-enriched dependency,Arithmetic mean,0.5612,0.5453,0.5771,0.0662,1147,2.87e-12
E2 PDAC-enriched dependency,Rank aggregation,0.5177,0.5005,0.5352,0.0607,1147,0.0438
E2 PDAC-enriched dependency,Weighted rank aggregation,0.5749,0.5580,0.5914,0.0732,1147,1.27e-17
E2 PDAC-enriched dependency,ECS (multiplicative),0.4688,0.4521,0.4853,0.0493,1147,0.000372
E2 PDAC-enriched dependency,Harmonic mean,0.5666,0.5507,0.5819,0.0683,1147,2.99e-14
E2 PDAC-enriched dependency,Logistic regression,0.6032,0.5873,0.6191,0.0775,1147,5.83e-32
E2 PDAC-enriched dependency,Elastic net,0.5942,0.5786,0.6106,0.0742,1147,6.75e-27
E2 PDAC-enriched dependency,Random forest,0.6310,0.6136,0.6481,0.0887,1147,1.74e-50
E3 conjunctive actionability,Mutation frequency,0.5198,0.5051,0.5362,0.0581,1159,0.0139
E3 conjunctive actionability,Genetic constraint,0.5592,0.5466,0.5716,0.0581,1159,5.15e-12
E3 conjunctive actionability,Cancer-driver annotation,0.5212,0.5150,0.5277,0.0656,1159,2.01e-38
E3 conjunctive actionability,Druggability,0.9147,0.9106,0.9188,0.2603,1159,< 1e-300
E3 conjunctive actionability,STRING centrality,0.7385,0.7234,0.7540,0.1752,1159,1.89e-164
E3 conjunctive actionability,Arithmetic mean,0.8321,0.8219,0.8420,0.1966,1159,< 1e-300
E3 conjunctive actionability,Rank aggregation,0.6363,0.6205,0.6521,0.0937,1159,5.01e-55
E3 conjunctive actionability,Weighted rank aggregation,0.8345,0.8227,0.8463,0.2598,1159,< 1e-300
E3 conjunctive actionability,ECS (multiplicative),0.6931,0.6838,0.7024,0.0804,1159,1.82e-108
E3 conjunctive actionability,Harmonic mean,0.8926,0.8865,0.8987,0.2451,1159,< 1e-300
E3 conjunctive actionability,Logistic regression,0.9313,0.9273,0.9352,0.3714,1159,< 1e-300
E3 conjunctive actionability,Elastic net,0.9275,0.9231,0.9315,0.3332,1159,< 1e-300
E3 conjunctive actionability,Random forest,0.9425,0.9387,0.9463,0.4862,1159,< 1e-300
E3-A leakage-controlled essentiality,Mutation frequency,0.4991,0.4905,0.5075,0.2175,4584,0.836
E3-A leakage-controlled essentiality,Genetic constraint,0.5240,0.5155,0.5328,0.2183,4584,4.29e-07
E3-A leakage-controlled essentiality,Cancer-driver annotation,0.5067,0.5044,0.5089,0.2253,4584,1.2e-13
E3-A leakage-controlled essentiality,Druggability,0.5072,0.5002,0.5143,0.2309,4584,0.0503
E3-A leakage-controlled essentiality,STRING centrality,0.6951,0.6864,0.7037,0.3995,4584,< 1e-300
E3-A leakage-controlled essentiality,Arithmetic mean,0.5796,0.5710,0.5883,0.2533,4584,5.68e-61
E3-A leakage-controlled essentiality,Rank aggregation,0.5327,0.5233,0.5415,0.2408,4584,1.33e-11
E3-A leakage-controlled essentiality,Weighted rank aggregation,0.6341,0.6251,0.6424,0.3108,4584,1.1e-169
E3-A leakage-controlled essentiality,ECS (multiplicative),0.4152,0.4060,0.4249,0.1795,4584,5.96e-69
E3-A leakage-controlled essentiality,Harmonic mean,0.5752,0.5668,0.5835,0.2539,4584,1.23e-54
E3-A leakage-controlled essentiality,Logistic regression,0.6786,0.6704,0.6865,0.3379,4584,4.09e-299
E3-A leakage-controlled essentiality,Elastic net,0.6715,0.6632,0.6794,0.3273,4584,5.97e-276
E3-A leakage-controlled essentiality,Random forest,0.7504,0.7426,0.7580,0.4899,4584,< 1e-300
E3-C out-of-evidence druggability,Mutation frequency,0.5628,0.5548,0.5712,0.2824,5188,5.26e-49
E3-C out-of-evidence druggability,Genetic constraint,0.6427,0.6352,0.6501,0.3100,5188,7.58e-216
E3-C out-of-evidence druggability,Cancer-driver annotation,0.5109,0.5086,0.5132,0.2597,5188,2.8e-36
E3-C out-of-evidence druggability,Druggability,1.0000,1.0000,1.0000,1.0000,5188,< 1e-300
E3-C out-of-evidence druggability,STRING centrality,0.6203,0.6108,0.6292,0.3558,5188,6.68e-149
E3-C out-of-evidence druggability,Arithmetic mean,0.8741,0.8683,0.8800,0.7601,5188,< 1e-300
E3-C out-of-evidence druggability,Rank aggregation,0.6789,0.6706,0.6868,0.4241,5188,< 1e-300
E3-C out-of-evidence druggability,Weighted rank aggregation,0.8083,0.8015,0.8151,0.6408,5188,< 1e-300
E3-C out-of-evidence druggability,ECS (multiplicative),0.7172,0.7105,0.7239,0.3456,5188,< 1e-300
E3-C out-of-evidence druggability,Harmonic mean,0.9357,0.9307,0.9405,0.8725,5188,< 1e-300
E3-C out-of-evidence druggability,Logistic regression,1.0000,1.0000,1.0000,1.0000,5188,< 1e-300
E3-C out-of-evidence druggability,Elastic net,1.0000,1.0000,1.0000,1.0000,5188,< 1e-300
E3-C out-of-evidence druggability,Random forest,1.0000,1.0000,1.0000,1.0000,5188,< 1e-300
